sex; entity; period; age-group; c1yr; rs1yr; LL_rs1yr;UL_rs1yr;i_1yr; c5yr; rs5yr; LL_rs5yr; UL_rs5yr;i_5yr; c10yr; rs10yr; LL_rs10yr; UL_rs10yr;i_10yr;
1 ;20 ;1996 ;2 ;  0; 81; 74; 86;. ;  0; 54; 46; 61;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;3 ;  0; 79; 72; 84;. ;  0; 52; 45; 59;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;4 ;  0; 68; 60; 74;. ;  0; 39; 31; 48;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;5 ;  0; 59; 46; 70;. ;  0; 42; 26; 61;. ;  0; * ; * ; * ;.
1 ;20 ;1996 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;0 ;  0; 72; 68; 75;. ;  0; 48; 44; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;1 ;  0; 87; 78; 93;. ;  0; 66; 55; 75;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;2 ;  0; 76; 69; 82;. ;  0; 50; 42; 58;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;3 ;  0; 81; 74; 86;. ;  0; 58; 50; 65;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;4 ;  0; 64; 56; 71;. ;  0; 37; 28; 45;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;5 ;  0; 53; 42; 63;. ;  0; 38; 24; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2001 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;0 ;  0; 77; 75; 80;. ;  0; 52; 49; 57;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;1 ;  0; 95; 88; 98;. ;  0; 75; 65; 82;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;2 ;  0; 87; 81; 91;. ;  0; 59; 51; 66;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;3 ;  0; 77; 72; 82;. ;  0; 48; 42; 54;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;4 ;  0; 72; 64; 78;. ;  0; 45; 37; 53;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;5 ;  0; 64; 54; 74;. ;  0; 49; 35; 64;. ;  0; * ; * ; * ;.
1 ;20 ;2006 ;6 ;  0; * ; * ; * ;. ;  0; * ; * ; * ;. ;  0; * ; * ; * ;.
